system:index,TiempoViaje,Visibilidad,layer,.geo
0_0,2.9150569416107435,29.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.82132024581206,16.812108569897518]}"
0_1,45.99431092843674,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56481045771257,17.659154946909037]}"
0_2,37.41438863534177,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56972884617453,17.647637088887993]}"
0_3,38.05001377450074,3.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-101.1569726207549,17.657915316816187]}"
0_4,0.2944194020308732,16.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.81833264810624,16.88249993912721]}"
0_5,6.2632739068875765,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.83258393507305,16.856886862676216]}"
0_6,12.925414073819411,91.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56860961181012,18.378889529743628]}"
0_7,38.34251824245917,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5685248888901,17.646656086656233]}"
0_8,30.925038858856723,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.67474513508422,17.701057119508267]}"
0_9,11.284968858849012,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.57711311751903,18.33138672622127]}"
0_10,4.820512088060723,50.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56517610399897,18.372776102199353]}"
0_11,0.5743885327448279,6.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-98.56730509295566,17.524744263855023]}"
0_12,32.578942707801616,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-101.01766584474422,17.56311036931887]}"
0_13,18.574260211613563,3.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.67425017486731,17.008670203434463]}"
0_14,2.35534266215717,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.83732395949288,16.873447963988717]}"
0_15,9.56213221768522,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.69836053426327,17.6994161703206]}"
0_16,19.65121061876277,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-98.55346850238685,17.539138242055547]}"
0_17,4.737897218489369,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56860961181012,18.436113173562507]}"
0_18,5.335619973592086,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59622036553304,17.918001303960523]}"
0_19,5.335619973592086,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59605537879406,17.918112781486855]}"
0_20,4.780361224131629,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59594390126774,17.918251013619507]}"
0_21,5.335619973592086,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5961088880067,17.918112781486855]}"
0_22,5.335619973592086,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59619361092673,17.918139536093175]}"
0_23,5.335619973592086,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59622036553304,17.918139536093175]}"
0_24,5.335619973592086,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59627833384674,17.918112781486855]}"
0_25,5.1798104905245435,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59594390126774,17.918139536093175]}"
0_26,5.147683600400635,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59633184305937,17.918166290699496]}"
0_27,5.1327755131220325,8.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59564068239611,17.918081567779485]}"
0_28,5.1798104905245435,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59600186958143,17.918139536093175]}"
0_29,3.237405609211182,13.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.58994195124978,17.916610064431843]}"
0_30,7.392069632268179,8.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59636305676676,17.9167482965645]}"
0_31,6.237422264559935,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.59636305676675,17.917497425541477]}"
0_32,18.538947529480662,34.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56110940383822,18.387500053877837]}"
0_33,17.03204951296422,9.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.19918200773422,18.318219000810448]}"
0_34,17.037135195464195,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.19969034525433,18.318236837214656]}"
0_35,16.6314374606015,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.1992711897553,18.31839736485259]}"
0_36,16.6314374606015,9.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.19923105784581,18.318433037661013]}"
0_37,12.497408163614125,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.71051604373497,17.715116665129784]}"
0_38,11.952294708475636,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.7098338012738,17.71486249636974]}"
0_39,66.90166742439528,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.78405553830841,17.216277030280796]}"
0_40,11.952294708475636,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.7098338012738,17.714866955470796]}"
0_41,12.15082752643269,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.71134989563197,17.715116665129788]}"
0_42,12.497408163614125,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.71053388013918,17.715183551645588]}"
0_43,12.497408163614125,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.71050266643182,17.715165715241373]}"
0_44,12.999540486163406,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.71050266643182,17.715232601757176]}"
0_45,4.764973243454155,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56022204272857,18.377583013134974]}"
0_46,4.764973243454155,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56022204272858,18.377609767741294]}"
0_47,5.141317385216875,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56038702946755,18.377752458975003]}"
0_48,17.07590041793645,57.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56178718719833,18.386394196816582]}"
0_49,21.689902571289068,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56001692408012,18.389377335421333]}"
0_50,4.764973243454155,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56038702946755,18.377471535608635]}"
0_51,18.95854219160494,34.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56116291305085,18.387615990505225]}"
0_52,18.60714551792015,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56128776788036,18.38755802219153]}"
0_53,4.764973243454155,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56036027486122,18.377418026395997]}"
0_54,4.391944781768493,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5603335202549,18.377306548869655]}"
0_55,4.943807233384704,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.55000178311407,18.366667133756135]}"
0_56,17.98188641058433,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.57002760594511,18.383362008100242]}"
0_57,17.053155485283277,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56952818662712,18.383277285180228]}"
0_58,18.538947529480662,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5611673721519,18.387611531404172]}"
0_59,15.94694065654078,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56905552191544,18.382554910809564]}"
0_60,15.747706623393539,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56900201270282,18.382443433283232]}"
0_61,1.9823207696067537,8.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56013731980858,18.37472027025866]}"
0_62,15.747706623393539,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56885932146909,18.382470187889545]}"
0_63,16.888116149738728,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56936319988813,18.38300082091491]}"
0_64,15.238266472946917,18.399999618530273,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56844462507114,18.382278446544255]}"
0_65,4.764973243454155,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5603335202549,18.377529503922332]}"
0_66,4.764973243454155,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56028001104227,18.377444781002314]}"
0_67,4.764973243454155,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56038702946755,18.377529503922332]}"
0_68,4.764973243454155,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56024879733489,18.377529503922332]}"
0_69,19.20452146156245,8.399999618530273,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5575287456923,18.391223403257463]}"
0_70,19.20452146156245,8.399999618530273,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5575555002986,18.391138680337452]}"
0_71,19.20452146156245,16.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.55769373243126,18.391330421682746]}"
0_72,18.905216815789128,27.299999237060547,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.5594149454379,18.38730831253254]}"
0_73,19.30607499060419,36.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56019528812226,18.387691795223134]}"
0_74,18.538947529480662,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56125655417299,18.38750451297889]}"
0_75,18.60714551792015,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56139032720458,18.387500053877837]}"
0_76,18.60714551792015,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56127884967823,18.38750005387784]}"
0_77,18.60714551792015,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56130560428456,18.387500053877837]}"
0_78,18.538947529480662,25.5,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56124763597086,18.387500053877837]}"
0_79,49.01218370112312,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.39458427499727,18.387473299271516]}"
0_80,22.59190025597265,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56158206854987,18.389858918335108]}"
0_81,22.836124864806504,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.56227768831423,18.38997039586144]}"
0_82,3.317383941291847,20.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.54002677405751,18.386777679507176]}"
0_83,3.9902564092941426,7.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.53963883226587,18.386915911639836]}"
0_84,3.9902564092941426,7.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.53966558687219,18.38683118871982]}"
0_85,3.9902564092941426,7.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.53963883226587,18.386831188719817]}"
0_86,27.360120955383106,6.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.71916669977867,17.846669064408545]}"
0_87,13.072936957235115,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.70999878801278,17.71527719276771]}"
0_88,3.275213034157189,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.53885403048048,18.391807545495464]}"
0_89,44.88867032684042,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.62344317746432,18.22150109896121]}"
0_90,44.898854201756286,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.62330494533168,18.221278143908535]}"
0_91,34.97090867362059,8.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.94444494409979,18.273610153871775]}"
0_92,46.87717538629571,3.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-99.95102657725468,18.27641492843439]}"
