system:index,TiempoViaje,Visibilidad,layer,.geo
0_0,4.054536987229765,3.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.52461119812315,20.735582404803473]}"
0_1,35.94113854996112,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.33708124197368,19.458027657485964]}"
0_2,8.526271043810116,6.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.8537795765417,19.36460949041627]}"
0_3,1.166997347753456,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.73261242361642,18.64744334978846]}"
0_4,28.38684297771805,30.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.68988085822124,18.686050246709197]}"
0_5,7.782486985467423,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.45930766319545,20.568303687884505]}"
0_6,23.742646842079182,12.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.69421510444519,18.687423649833658]}"
0_7,7.1636654847428325,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.76672008757423,19.492639199862808]}"
0_8,0.407433694997093,14.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.44555579554661,20.48944448575432]}"
0_9,6.700741102120477,16.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.45902673982907,20.568861075516182]}"
0_10,7.005541195001554,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.45916497196173,20.56861136585719]}"
0_11,5.026041396895003,3.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.44899822155989,20.487999737013]}"
0_12,28.640271780331805,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.34133522437865,19.44566702936581]}"
0_13,8.53892421897459,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.2461917586007,19.24645916302931]}"
0_14,8.941340846287963,3.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-95.83166554643084,18.807371883637593]}"
0_15,13.70488032153317,35.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.46144357260006,20.67639675652109]}"
0_16,13.888148913431134,42.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.44657247058682,20.680677493532393]}"
0_17,2.3385597931932467,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.91234986887872,18.88005681534252]}"
0_18,3.824691569243877,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.94092824753025,18.932326397891018]}"
0_19,4.338418201801423,6.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.92288226556697,18.92797431526285]}"
